Branch City,Branch Code,Branch Name,Branch Phone,Branch State,Branch Street,Branch Zip,Document Index (generated),Last Updated
Lakeville,1,Example Bank,1234565276,MN,Bridle Court,55044,1,2018-04-18T16:51:47.000-04:00
TreeCity,999,TEST Bank,1234567890,MM,Night Court,,2,2018-04-18T16:51:47.000-04:00
Huntley,2,Example Bank,1234618993,IL,Washington Street,60142,3,2018-04-18T16:51:47.000-04:00
SouthRichmondHill,3,Example Bank,1234985926,NY,Warren Street,11419,4,2018-04-18T16:51:47.000-04:00
Middleburg,4,Example Bank,1234663064,FL,Cleveland Street,32068,5,2018-04-18T16:51:47.000-04:00
KingOfPrussia,5,Example Bank,1234849701,PA,14th Street,19406,6,2018-04-18T16:51:47.000-04:00
Paterson,7,Example Bank,1234144890,NJ,Jefferson Street,07501,7,2018-04-18T16:51:47.000-04:00
Pittsford,8,Example Bank,1234678272,NY,B Street,14534,8,2018-04-18T16:51:47.000-04:00
Wethersfield,9,Example Bank,1234675219,CT,Jefferson Court,06109,9,2018-04-18T16:51:47.000-04:00
NorthOlmsted,10,Example Bank,1234145047,OH,Cambridge Road,44070,10,2018-04-18T16:51:47.000-04:00
Hillsborough,11,Example Bank,1234366354,NJ,3rd Street West,08844,11,2018-04-18T16:51:47.000-04:00
MadisonHeights,12,Example Bank,1234867175,MI,Mill Road,48071,12,2018-04-18T16:51:47.000-04:00
Oviedo,14,Example Bank,1234938460,FL,Washington Street,32765,13,2018-04-18T16:51:47.000-04:00
Mechanicsburg,15,Example Bank,1234462043,PA,Chestnut Street,17050,14,2018-04-18T16:51:47.000-04:00
Plainview,16,Example Bank,1234857525,NY,Monroe Drive,11803,15,2018-04-18T16:51:47.000-04:00
Paducah,17,Example Bank,1234546360,KY,Railroad Street,42001,16,2018-04-18T16:51:47.000-04:00
Harleysville,18,Example Bank,1234824455,PA,Church Street South,19438,17,2018-04-18T16:51:47.000-04:00
SilverSpring,19,Example Bank,1234484380,MD,King Street,20901,18,2018-04-18T16:51:47.000-04:00
Burnsville,20,Example Bank,1234840138,MN,Canterbury Drive,55337,19,2018-04-18T16:51:47.000-04:00
Tacoma,21,Example Bank,1234362433,WA,2nd Avenue,98444,20,2018-04-18T16:51:47.000-04:00
Carlisle,22,Example Bank,1234922492,PA,Front Street South,17013,21,2018-04-18T16:51:47.000-04:00
Duarte,23,Example Bank,1234460645,CA,Highland Avenue,91010,22,2018-04-18T16:51:47.000-04:00
Redford,24,Example Bank,1234617414,MI,Grove Street,48239,23,2018-04-18T16:51:47.000-04:00
NewBaltimore,25,Example Bank,1234525844,MI,Park Avenue,48047,24,2018-04-18T16:51:47.000-04:00
LakeJackson,26,Example Bank,1234356462,TX,Chestnut Avenue,77566,25,2018-04-18T16:51:47.000-04:00
WinstonSalem,27,Example Bank,1234836200,NC,Pin Oak Drive,27103,26,2018-04-18T16:51:47.000-04:00
